,PIN,FOLIO,DOR_CODE,NBHC,S_DATE,VI,QU,REA_CD,S_AMT,SUB,STR,S_TYPE,PIN_p,DOR_C,SUB_p,SITE_ADDR,SITE_CITY,SITE_ZIP,tBEDS,tBATHS,tSTORIES,tUNITS,tBLDGS,TAXDIST,JUST,LAND,BLDG,EXF,ACT,EFF,HEAT_AR,ASD_VAL,TAX_VAL,MUNI,SD1,SD2,TIF,BASE,VI_p,ACREAGE,NBHC_p,OWNER_OCCUPIED,_merge
6152,U-11-27-17-66L-000000-COM00.0,0008875327,0902,211006.0,2002-09-16,V,U,05,100.0,66L,112717,QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26356,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,2002-09-20,V,U,3C,50000.0,C7A,332717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26357,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,2001-03-14,I,U,05,900000.0,C7A,332717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26358,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,1989-11-01,I,U,38,661800.0,C7A,332717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26359,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,1989-08-01,I,U,38,644000.0,C7A,332717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26360,U-33-27-17-C7A-000000-00001.0,0027252632,7100,411001.0,1987-09-01,I,U,38,560000.0,C7A,332717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26361,U-33-27-17-C7A-000000-00002.0,0027252634,0000,211001.0,2002-09-20,V,U,3C,50000.0,C7A,332717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26362,U-33-27-17-C7A-000000-00003.0,0027252636,0000,211001.0,2002-09-20,V,U,3C,50000.0,C7A,332717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
26363,U-33-27-17-C7A-000000-00004.0,0027252638,0000,211001.0,2002-09-20,V,U,3C,50000.0,C7A,332717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
31168,U-35-27-17-C54-000001-00001.0,0028888282,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
31169,U-35-27-17-C54-000001-00002.0,0028888284,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
31170,U-35-27-17-C54-000001-00003.0,0028888286,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
31171,U-35-27-17-C54-000001-00004.0,0028888288,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
31172,U-35-27-17-C54-000001-00005.0,0028888290,0006,211003.0,2020-10-09,V,U,3C,950000.0,C54,352717,WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
